date,state,demand
2023-03-10,Karnataka,15520.0
2023-03-11,Karnataka,15438.0
2023-03-12,Karnataka,13530.0
2023-03-13,Karnataka,15340.0
2023-03-14,Karnataka,15551.0
2023-03-15,Karnataka,15781.0
2023-03-16,Karnataka,15372.0
2023-03-17,Karnataka,14156.0
2023-03-18,Karnataka,13894.0
2023-03-19,Karnataka,12306.0
2023-03-20,Karnataka,14078.0
2023-03-21,Karnataka,14777.0
2023-03-22,Karnataka,14512.0
2023-03-23,Karnataka,14979.0
2023-03-24,Karnataka,15105.0
2023-03-25,Karnataka,15159.0
2023-03-26,Karnataka,13950.0
2023-03-27,Karnataka,15110.0
2023-03-28,Karnataka,15000.0
2023-03-29,Karnataka,15828.0
2023-03-30,Karnataka,15787.5
2023-03-31,Karnataka,15747.0
2023-04-01,Karnataka,15185.0
2023-04-02,Karnataka,14268.0
2023-04-03,Karnataka,15458.0
2023-04-04,Karnataka,14850.0
2023-04-05,Karnataka,15280.0
2023-04-06,Karnataka,15681.0
2023-04-07,Karnataka,14332.0
2023-04-08,Karnataka,13826.0
2023-04-09,Karnataka,13401.0
2023-04-10,Karnataka,15263.0
2023-04-11,Karnataka,15020.0
2023-04-12,Karnataka,15230.0
2023-04-13,Karnataka,15450.0
2023-04-14,Karnataka,15849.0
2023-04-15,Karnataka,14953.0
2023-04-16,Karnataka,14181.0
2023-04-17,Karnataka,15790.0
2023-04-18,Karnataka,15798.0
2023-04-19,Karnataka,15752.0
2023-04-20,Karnataka,16110.0
2023-04-21,Karnataka,15664.0
2023-04-22,Karnataka,14209.0
2023-04-23,Karnataka,13510.0
2023-04-24,Karnataka,15361.0
2023-04-25,Karnataka,15225.0
2023-04-26,Karnataka,14809.0
2023-04-27,Karnataka,15188.0
2023-04-28,Karnataka,15038.0
2023-04-29,Karnataka,14532.0
2023-04-30,Karnataka,12058.0
2023-05-01,Karnataka,11346.0
2023-05-02,Karnataka,12117.0
2023-05-03,Karnataka,12086.0
2023-05-04,Karnataka,13177.0
2023-05-05,Karnataka,13178.0
2023-05-06,Karnataka,12928.0
2023-05-07,Karnataka,11171.0
2023-05-08,Karnataka,12128.0
