valid_time,nwp_c,segment_origin,run,run_lead_hours
2025-11-07 10:00:00+00:00,28.8,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,34
2025-11-07 11:00:00+00:00,27.9,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,35
2025-11-07 12:00:00+00:00,26.0,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,36
2025-11-07 13:00:00+00:00,24.8,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,37
2025-11-07 14:00:00+00:00,23.7,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,38
2025-11-07 15:00:00+00:00,22.9,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,39
2025-11-07 16:00:00+00:00,22.8,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,40
2025-11-07 17:00:00+00:00,21.6,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,41
2025-11-07 18:00:00+00:00,20.8,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,42
2025-11-07 19:00:00+00:00,20.0,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,43
2025-11-07 20:00:00+00:00,19.7,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,44
2025-11-07 21:00:00+00:00,18.9,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,45
2025-11-07 22:00:00+00:00,18.6,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,46
2025-11-07 23:00:00+00:00,18.1,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,47
2025-11-08 00:00:00+00:00,17.5,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,48
2025-11-08 01:00:00+00:00,17.5,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,49
2025-11-08 02:00:00+00:00,20.3,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,50
2025-11-08 03:00:00+00:00,22.6,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,51
2025-11-08 04:00:00+00:00,24.8,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,52
2025-11-08 05:00:00+00:00,26.6,2025-11-06 06:00:00+00:00,2025-11-06 00:00:00+00:00,53
