station,origin,method,n,mae_c,rmse_c,bias_c
43279099999,2025-04-07 06:00:00+00:00,bias_corrected_c,48,0.8220521774856202,1.1169218464737667,0.48820870994248056
43279099999,2025-04-07 06:00:00+00:00,ridge_corrected_c,48,0.9611503125020401,1.2035950749803892,0.9237278549132008
43279099999,2025-04-07 06:00:00+00:00,timesfm_c,48,0.4558354616165161,0.5804377204209769,-0.23767117659250894
43279099999,2025-04-07 06:00:00+00:00,timesfm_nwp_c,48,0.41563884417215985,0.5063908815095447,0.16599496205647787
43279099999,2025-04-09 06:00:00+00:00,persistence_c,48,2.5833333333333335,3.0754403478743226,1.7916666666666667
43279099999,2025-04-09 06:00:00+00:00,yesterday_c,48,0.9166666666666666,1.2583057392117916,-0.5833333333333334
43279099999,2025-04-09 06:00:00+00:00,ecmwf_ifs_c,48,1.4458333333333335,1.8519134249022913,-0.2791666666666665
43279099999,2025-04-09 06:00:00+00:00,bias_corrected_c,48,1.3480347849904135,1.981866324709081,0.7590420432758144
43279099999,2025-04-09 06:00:00+00:00,ridge_corrected_c,48,1.0987412134473773,1.6701082958069924,0.9848458351616906
43279099999,2025-04-09 06:00:00+00:00,timesfm_c,48,1.345228870709737,1.752971657269359,-0.9769166707992554
43279099999,2025-04-09 06:00:00+00:00,timesfm_nwp_c,48,0.7862737973531088,0.9649071944027191,-0.31614096959431964
43279099999,2025-04-11 06:00:00+00:00,persistence_c,48,3.0208333333333335,3.4550687402713134,2.2291666666666665
43279099999,2025-04-11 06:00:00+00:00,yesterday_c,48,1.0625,1.3768926368215255,0.22916666666666666
43279099999,2025-04-11 06:00:00+00:00,ecmwf_ifs_c,48,1.1937499999999999,1.5219915680887766,0.69375
43279099999,2025-04-11 06:00:00+00:00,bias_corrected_c,48,1.8364985620377976,2.1988292893671746,1.7319587099424807
43279099999,2025-04-11 06:00:00+00:00,ridge_corrected_c,48,1.786666580344266,1.938901832783406,1.6926502927940827
43279099999,2025-04-11 06:00:00+00:00,timesfm_c,48,1.2358880440394084,1.6021281658080533,-0.7860308090845743
43279099999,2025-04-11 06:00:00+00:00,timesfm_nwp_c,48,0.888784130414327,1.1658066655197576,0.05003186066945394
43279099999,2025-04-13 06:00:00+00:00,persistence_c,48,4.6875,5.0641715347461655,4.6875
43279099999,2025-04-13 06:00:00+00:00,yesterday_c,48,1.3125,1.7260262647673315,1.2708333333333333
43279099999,2025-04-13 06:00:00+00:00,ecmwf_ifs_c,48,1.2104166666666667,1.352543899472398,-0.2854166666666666
43279099999,2025-04-13 06:00:00+00:00,bias_corrected_c,48,1.232468844152287,1.52138364221792,0.7527920432758143
43279099999,2025-04-13 06:00:00+00:00,ridge_corrected_c,48,1.638466765556382,1.922525579624004,1.6332701190423282
43279099999,2025-04-13 06:00:00+00:00,timesfm_c,48,0.571742057800293,0.7293875392201773,0.4619301954905192
43279099999,2025-04-13 06:00:00+00:00,timesfm_nwp_c,48,0.6152361631393433,0.7467167690801394,0.0798424482345581
43279099999,2025-04-15 06:00:00+00:00,persistence_c,48,3.9583333333333335,4.411160089288682,3.9583333333333335
43279099999,2025-04-15 06:00:00+00:00,yesterday_c,48,1.125,2.508319490548735,1.0833333333333333
43279099999,2025-04-15 06:00:00+00:00,ecmwf_ifs_c,48,1.770833333333333,2.922684268499307,0.5625000000000001
43279099999,2025-04-15 06:00:00+00:00,bias_corrected_c,48,1.8566043549712408,3.2845007927262024,1.6007087099424808
43279099999,2025-04-15 06:00:00+00:00,ridge_corrected_c,48,2.3655843919531745,3.5003605054990183,2.344172886378244
43279099999,2025-04-15 06:00:00+00:00,timesfm_c,48,1.2481054067611694,2.5731475483276913,0.929714560508728
43279099999,2025-04-15 06:00:00+00:00,timesfm_nwp_c,48,1.1485157012939453,2.468537471848134,0.8698697884877523
43279099999,2025-04-17 06:00:00+00:00,persistence_c,48,2.7916666666666665,3.24037034920393,2.5416666666666665
43279099999,2025-04-17 06:00:00+00:00,yesterday_c,48,1.9583333333333333,3.227486121839514,-1.9583333333333333
43279099999,2025-04-17 06:00:00+00:00,ecmwf_ifs_c,48,1.2750000000000001,1.4307631996012944,-0.5791666666666668
43279099999,2025-04-17 06:00:00+00:00,bias_corrected_c,48,0.9307586962476032,1.3864951868111155,0.45904204327581416
43279099999,2025-04-17 06:00:00+00:00,ridge_corrected_c,48,1.2590691169365662,1.5628561488445474,0.9581387338428075
43279099999,2025-04-17 06:00:00+00:00,timesfm_c,48,0.5185535351435343,0.6222351978939284,-0.44294671217600506
43279099999,2025-04-17 06:00:00+00:00,timesfm_nwp_c,48,0.5905123551686605,0.740751288093997,-0.5610297520955404
43279099999,2025-04-19 06:00:00+00:00,persistence_c,48,2.9375,3.485087277721081,2.7291666666666665
43279099999,2025-04-19 06:00:00+00:00,yesterday_c,48,0.7291666666666666,0.9682458365518543,-0.7291666666666666
43279099999,2025-04-19 06:00:00+00:00,ecmwf_ifs_c,48,1.33125,1.5611827781098107,-0.6854166666666668
43279099999,2025-04-19 06:00:00+00:00,bias_corrected_c,48,1.20367536291427,1.4463602198349295,0.3527920432758141
43279099999,2025-04-19 06:00:00+00:00,ridge_corrected_c,48,1.007117258135905,1.2711444635063915,0.9127200791243156
