lead_hours,method,n,mae_c,rmse_c,bias_c
32,timesfm_nwp_c,27,1.3175170333297164,1.934307994737942,-0.4449581570095486
33,persistence_c,27,3.740740740740741,4.185512933741636,3.6666666666666665
33,yesterday_c,27,1.7407407407407407,2.6874192494328497,-0.48148148148148145
33,ecmwf_ifs_c,27,1.7814814814814819,2.1299452262127936,-1.2555555555555558
33,bias_corrected_c,27,1.324021359499579,1.8881052035328336,-0.6656396716671191
33,ridge_corrected_c,27,1.4047480647254322,1.8902904530838813,0.5965729510083072
33,timesfm_c,27,1.2742495360197845,1.788218313002358,-0.7067425339310257
33,timesfm_nwp_c,27,1.352523026642976,1.9529045281221178,-0.6496103781240957
34,persistence_c,26,4.076923076923077,4.56575884669283,4.076923076923077
34,yesterday_c,26,1.1153846153846154,1.6756169931378433,-0.4230769230769231
34,ecmwf_ifs_c,26,1.784615384615385,2.1162375902675814,-1.3923076923076925
34,bias_corrected_c,26,1.3243341479174413,1.8185715499207993,-0.8004516375293244
34,ridge_corrected_c,26,1.2279175229760428,1.5356105517127796,0.5666767053779516
34,timesfm_c,26,1.1226831582876353,1.4548697257041094,-0.624302497276893
34,timesfm_nwp_c,26,1.2027706733116736,1.523709846461528,-0.6365152505727915
35,persistence_c,26,4.384615384615385,4.755563543407303,4.384615384615385
35,yesterday_c,26,0.9615384615384616,1.454436184706849,-0.2692307692307692
35,ecmwf_ifs_c,26,1.75,2.0923854623555678,-1.3346153846153848
35,bias_corrected_c,26,1.3988889631809174,1.7949319003874094,-0.7427593298370169
35,ridge_corrected_c,26,1.2762906689761755,1.5261935142159748,0.6854289442379694
35,timesfm_c,26,1.0227536421555738,1.2605371309958422,-0.6964944692758414
35,timesfm_nwp_c,26,1.176382725055401,1.4615453079114684,-0.6641184733464167
36,persistence_c,27,5.074074074074074,5.4602943890247175,5.074074074074074
36,yesterday_c,27,0.6296296296296297,1.0363754503432017,-0.25925925925925924
36,ecmwf_ifs_c,27,1.5074074074074073,1.8349487832190403,-1.0185185185185184
36,bias_corrected_c,27,1.0471330466822035,1.5249918252841181,-0.428602634630082
36,ridge_corrected_c,27,1.320497598600635,1.51706072225661,0.9519588393383587
36,timesfm_c,27,0.8531999941225406,1.1083042229638433,-0.40489973845305266
36,timesfm_nwp_c,27,0.8001015274612991,1.112274308457576,-0.3294888249150029
37,persistence_c,27,5.481481481481482,5.818234427371577,5.481481481481482
37,yesterday_c,27,0.8888888888888888,1.3052600138300812,-0.2222222222222222
37,ecmwf_ifs_c,27,1.5481481481481485,1.8787308560913216,-0.911111111111111
37,bias_corrected_c,27,1.210723235739055,1.5985195725516776,-0.3211952272226747
37,ridge_corrected_c,27,1.4022656066319674,1.696570160349711,1.0829835263422578
37,timesfm_c,27,0.8590636076750578,1.114241632883141,-0.2752859327528212
37,timesfm_nwp_c,27,0.9457439140037254,1.2065820748987823,-0.24273957146538627
38,persistence_c,27,5.851851851851852,6.236095644623235,5.851851851851852
38,yesterday_c,27,1.0740740740740742,1.319371343004213,-0.037037037037037035
38,ecmwf_ifs_c,27,1.3148148148148147,1.5120503616931205,-0.9000000000000001
38,bias_corrected_c,27,0.946430652952576,1.142069739184769,-0.31008411611156383
38,ridge_corrected_c,27,1.1591905095364574,1.5023886820573704,1.107296245439419
38,timesfm_c,27,0.9800629792390047,1.201069621481657,-0.18352536801938657
38,timesfm_nwp_c,27,0.9228950076633029,1.161287474391756,-0.16484740928367334
39,persistence_c,26,6.230769230769231,6.6390453437917625,6.230769230769231
39,yesterday_c,26,1.1153846153846154,1.4005493427717788,-0.11538461538461539
39,ecmwf_ifs_c,26,1.3423076923076924,1.4900955054574907,-0.9576923076923076
39,bias_corrected_c,26,0.8860975786638055,1.059655739706665,-0.3496724512860544
39,ridge_corrected_c,26,1.112719588901809,1.416616912968072,1.0020170044762942
39,timesfm_c,26,1.013190562908466,1.232638370596677,-0.23195831592266375
39,timesfm_nwp_c,26,0.8922454393826998,1.126300652977779,-0.1916541319627028
40,persistence_c,25,6.72,7.093659140387279,6.72
40,yesterday_c,25,1.12,1.296148139681572,-0.08
40,ecmwf_ifs_c,25,1.256,1.4068404316055179,-0.8080000000000002
40,bias_corrected_c,25,0.8806068380820727,1.0094950879716433,-0.21718769773519597
40,ridge_corrected_c,25,1.0795129888838715,1.3356786864097654,1.0346246560919041
40,timesfm_c,25,0.9936624145507813,1.1776230470854534,-0.1542742919921875
