split,station,origin,run,origin_month,calendar_season,forecast_epoch,status,reason,detail,imputed_history_hours,target_observed_hours,scored_hours
train,43279099999,2024-11-27 06:00:00+00:00,2024-11-27 00:00:00+00:00,2024-11,SON,ifs_49r1_hindcast,eligible,,,1.0,47,0
train,42410099999,2024-12-05 06:00:00+00:00,2024-12-05 00:00:00+00:00,2024-12,DJF,ifs_49r1_hindcast,eligible,,,8.0,48,0
train,43128599999,2024-12-05 06:00:00+00:00,2024-12-05 00:00:00+00:00,2024-12,DJF,ifs_49r1_hindcast,data_rejected,history_policy,Missing history exceeds 10% of the context,,42,0
train,43279099999,2024-12-05 06:00:00+00:00,2024-12-05 00:00:00+00:00,2024-12,DJF,ifs_49r1_hindcast,eligible,,,7.0,48,0
train,42410099999,2024-12-13 06:00:00+00:00,2024-12-13 00:00:00+00:00,2024-12,DJF,ifs_49r1_hindcast,eligible,,,0.0,48,0
train,43128599999,2024-12-13 06:00:00+00:00,2024-12-13 00:00:00+00:00,2024-12,DJF,ifs_49r1_hindcast,eligible,,,9.0,45,0
train,43279099999,2024-12-13 06:00:00+00:00,2024-12-13 00:00:00+00:00,2024-12,DJF,ifs_49r1_hindcast,eligible,,,1.0,48,0
train,42410099999,2024-12-21 06:00:00+00:00,2024-12-21 00:00:00+00:00,2024-12,DJF,ifs_49r1_hindcast,eligible,,,5.0,48,0
train,43128599999,2024-12-21 06:00:00+00:00,2024-12-21 00:00:00+00:00,2024-12,DJF,ifs_49r1_hindcast,eligible,,,16.0,44,0
train,43279099999,2024-12-21 06:00:00+00:00,2024-12-21 00:00:00+00:00,2024-12,DJF,ifs_49r1_hindcast,eligible,,,5.0,48,0
train,42410099999,2024-12-29 06:00:00+00:00,2024-12-29 00:00:00+00:00,2024-12,DJF,ifs_49r1_hindcast,eligible,,,4.0,48,0
train,43128599999,2024-12-29 06:00:00+00:00,2024-12-29 00:00:00+00:00,2024-12,DJF,ifs_49r1_hindcast,eligible,,,16.0,44,0
train,43279099999,2024-12-29 06:00:00+00:00,2024-12-29 00:00:00+00:00,2024-12,DJF,ifs_49r1_hindcast,eligible,,,1.0,47,0
train,42410099999,2025-01-06 06:00:00+00:00,2025-01-06 00:00:00+00:00,2025-01,DJF,ifs_49r1_hindcast,eligible,,,4.0,48,0
train,43128599999,2025-01-06 06:00:00+00:00,2025-01-06 00:00:00+00:00,2025-01,DJF,ifs_49r1_hindcast,eligible,,,14.0,42,0
train,43279099999,2025-01-06 06:00:00+00:00,2025-01-06 00:00:00+00:00,2025-01,DJF,ifs_49r1_hindcast,eligible,,,1.0,48,0
train,42410099999,2025-01-14 06:00:00+00:00,2025-01-14 00:00:00+00:00,2025-01,DJF,ifs_49r1_hindcast,eligible,,,1.0,47,0
train,43128599999,2025-01-14 06:00:00+00:00,2025-01-14 00:00:00+00:00,2025-01,DJF,ifs_49r1_hindcast,data_rejected,history_policy,Missing history exceeds 10% of the context,,43,0
train,43279099999,2025-01-14 06:00:00+00:00,2025-01-14 00:00:00+00:00,2025-01,DJF,ifs_49r1_hindcast,eligible,,,0.0,48,0
train,42410099999,2025-01-22 06:00:00+00:00,2025-01-22 00:00:00+00:00,2025-01,DJF,ifs_49r1_hindcast,eligible,,,2.0,40,0
train,43128599999,2025-01-22 06:00:00+00:00,2025-01-22 00:00:00+00:00,2025-01,DJF,ifs_49r1_hindcast,data_rejected,history_policy,Missing history exceeds 10% of the context,,37,0
train,43279099999,2025-01-22 06:00:00+00:00,2025-01-22 00:00:00+00:00,2025-01,DJF,ifs_49r1_hindcast,eligible,,,0.0,45,0
train,42410099999,2025-01-30 06:00:00+00:00,2025-01-30 00:00:00+00:00,2025-01,DJF,ifs_49r1_hindcast,data_rejected,history_policy,History has a leading gap or a gap longer than 6 hours,,47,0
train,43128599999,2025-01-30 06:00:00+00:00,2025-01-30 00:00:00+00:00,2025-01,DJF,ifs_49r1_hindcast,eligible,,,13.0,45,0
train,43279099999,2025-01-30 06:00:00+00:00,2025-01-30 00:00:00+00:00,2025-01,DJF,ifs_49r1_hindcast,eligible,,,1.0,48,0
